symbol,date,open,high,low,close,volume
AXISCETF,2021-09-23,75.0,81.0,72.0,74.45,31935
AXISCETF,2021-09-24,72.95,77.89,72.5,72.56,17827
AXISCETF,2021-09-27,74.73,74.73,71.06,72.3,3465
AXISCETF,2021-09-28,73.1,73.1,71.0,71.29,3874
AXISCETF,2021-09-29,72.95,72.95,69.45,70.43,5985
AXISCETF,2021-09-30,70.43,71.96,69.2,70.86,3422
AXISCETF,2021-10-01,71.45,74.2,69.0,72.59,9500
AXISCETF,2021-10-04,76.0,76.0,71.0,72.78,2144
AXISCETF,2021-10-05,71.06,73.2,71.06,71.3,7220
AXISCETF,2021-10-06,72.86,72.86,71.3,71.59,1318
AXISCETF,2021-10-07,73.73,73.73,70.53,72.22,1872
AXISCETF,2021-10-08,71.95,72.22,70.95,71.34,3059
AXISCETF,2021-10-11,74.0,74.0,71.42,71.45,2163
AXISCETF,2021-10-12,73.85,73.85,71.06,71.89,2401
AXISCETF,2021-10-13,71.89,73.4,71.89,72.1,890
AXISCETF,2021-10-14,72.1,73.8,72.0,72.49,10065
AXISCETF,2021-10-18,71.5,73.5,71.5,72.32,3377
AXISCETF,2021-10-19,73.29,73.29,71.1,71.35,2417
AXISCETF,2021-10-20,71.3,73.22,70.61,72.0,6602
AXISCETF,2021-10-21,72.0,73.0,71.0,72.9,2111
AXISCETF,2021-10-22,72.5,72.9,71.21,71.24,2818
AXISCETF,2021-10-25,73.0,73.0,68.05,68.15,17767
AXISCETF,2021-10-26,68.1,71.96,68.0,71.05,5919
AXISCETF,2021-10-27,71.45,71.5,70.0,70.46,434
AXISCETF,2021-10-28,71.45,72.5,68.55,70.97,2410
AXISCETF,2021-10-29,72.95,72.95,60.0,70.79,2825
AXISCETF,2021-11-01,71.45,72.7,70.0,71.3,789
AXISCETF,2021-11-02,72.5,72.5,70.33,70.61,1200
AXISCETF,2021-11-03,71.2,72.4,70.57,72.31,871
AXISCETF,2021-11-04,72.5,72.5,71.61,72.27,1238
AXISCETF,2021-11-08,73.1,73.1,70.05,70.54,3041
AXISCETF,2021-11-09,70.5,72.11,69.45,71.06,3060
AXISCETF,2021-11-10,71.99,72.89,69.95,70.29,3930
AXISCETF,2021-11-11,71.99,71.99,70.09,70.16,638
AXISCETF,2021-11-12,70.16,72.8,70.12,71.0,2273
AXISCETF,2021-11-15,72.5,72.5,70.0,70.1,1858
AXISCETF,2021-11-16,70.1,71.77,70.0,70.8,591
AXISCETF,2021-11-17,71.9,71.9,70.01,70.12,2658
AXISCETF,2021-11-18,70.1,70.1,67.25,67.8,53119
AXISCETF,2021-11-22,68.5,72.0,68.0,71.35,41149
AXISCETF,2021-11-23,71.35,71.35,69.01,70.09,214
AXISCETF,2021-11-24,69.6,72.55,69.6,72.02,37640
AXISCETF,2021-11-25,69.86,72.02,69.86,70.54,1183
AXISCETF,2021-11-26,72.0,72.0,69.16,70.1,653
AXISCETF,2021-11-29,70.1,72.0,67.25,69.9,682
AXISCETF,2021-11-30,71.97,72.0,69.61,70.22,963
AXISCETF,2021-12-01,70.6,71.97,70.15,70.81,957
AXISCETF,2021-12-02,71.2,72.0,70.45,70.45,2125
AXISCETF,2021-12-03,72.0,74.0,69.35,70.34,2747
AXISCETF,2021-12-06,70.9,71.47,67.73,68.33,1026
AXISCETF,2021-12-07,68.35,70.99,68.35,70.79,1214
AXISCETF,2021-12-08,70.9,71.8,69.1,69.59,2774
AXISCETF,2021-12-09,68.09,70.9,68.09,70.0,5795
AXISCETF,2021-12-10,71.99,72.4,69.96,70.0,2432
AXISCETF,2021-12-13,70.9,72.9,70.02,71.84,1322
AXISCETF,2021-12-14,70.0,71.9,69.05,71.48,2364
AXISCETF,2021-12-15,71.99,71.99,70.01,70.12,1086
AXISCETF,2021-12-16,71.2,71.89,68.9,70.95,505
AXISCETF,2021-12-17,69.02,71.9,69.0,70.63,2048
AXISCETF,2021-12-20,71.2,71.7,68.0,68.99,5276
AXISCETF,2021-12-21,68.99,71.9,68.95,71.27,774
AXISCETF,2021-12-22,68.0,70.4,68.0,69.31,3994
AXISCETF,2021-12-23,69.74,70.0,68.81,69.5,538
AXISCETF,2021-12-24,68.82,71.2,68.0,68.51,993
AXISCETF,2021-12-27,69.1,69.9,67.62,69.41,1070
AXISCETF,2021-12-28,69.7,69.79,68.7,68.72,448
AXISCETF,2021-12-29,68.65,70.0,68.65,69.0,718
AXISCETF,2021-12-30,69.7,69.94,68.21,68.89,975
AXISCETF,2021-12-31,69.4,69.63,68.22,68.99,1383
AXISCETF,2022-01-03,69.0,71.9,67.95,70.22,3064
AXISCETF,2022-01-04,70.0,71.15,68.72,69.36,1453
AXISCETF,2022-01-05,70.99,71.2,68.87,71.14,3501
